Title,Thumbsup,Name,Comment
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,21,TheSmilingVagrantsOfficial,"Wearing cloths on your head and your body is smart in extreme heat, especially white cloth"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,13,Jerelyn AF,i just clicked to see whether anyone thinks he looks like ryan reynolds 😭😭
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Hijira Fatima,This was put soooo beautifully into perspective
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Rianna Renae,im so beyond jealous of his future wifey
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,30,Classy's World,1:45 That was so hilarious!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,Fatma Nur Arici,He’s really good 😄👏🏾👏🏾
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,farrah adel,Thank you for making this more clear to people 👏
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,31,leeanne,Best comic ever!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Bryan Christopher,I got to be Ramy's stand-in for this special. Super funny dude & nice fella
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Juman B,Ramy always talks as if he’s high lol
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,16,Kuroi Ame Wa Hidoi,THIS GUY IS A GENIUS WTF?
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,Samatar Abdi,Just because you don’t get it doesn’t mean it’s oppressive..
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,8,Shasha Vengesayi,I love his comedic timing
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,LumLum Hamilton,I get what you’re trying to do and I applaud you but you know and I know that there are thousands and thousands of girls who wear the hijab because they are made to wear it and not because they’re wearing it by choice. Making it sound like it’s ludicrous that hijabi women are forced to wear the hijab is ludicrous in itself.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,24,Paige Pico,"Love the show, just finished the first season."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,Scott,"This guy is genius!  He is right on point and he makes the audience uncomfortable t(at first) alking about things we all ask ourselves but afraid to discuss.  He brings it out!.  And it's refreshing, jolting, smart as hell, and in the end.... very human."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,7,S. White,"Daymnnn... It's just sooo true, man !! We need to think 🤔"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,Salma Sabry,المصرى او العربى يدوس لايك⁦❤️⁩ ⁩⁦🇪🇬⁩
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Nicole A,My favorite comic right now.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,omer mobashir,"that's it 
I'm in love with this guy period"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Youssouf Belkhiri,"In the Algerian Sahara, *men* wear those long and kinda thick robes and cover their hear except the eyes. Women, on the hand, do ear much comfortable outfits and are not at all bothered to cover every single hair in their heads. I don't understand it either like its so hot outside why would their wear those robes?! The answer is that: culture. Plus, i figured out that the type of cloth used to make those robes is chosen with care and it keeps the body cool and fresh."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Gadget MD,The Muslim Enrique Iglesius :) Love you bro lol
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Inalmada Dada,"This is so good that it's gonna be stolen by french comedians, for sure 😁."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,Æyad Sumّood,Tho it's true. This clip was hilarious 😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Naufal Hasan,This is a genius dakwah i've ever seen!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,7,Esty Yuliana,Need more of this
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Kasliah Kachong,I like the way he approach his audiences..good job!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Hosnaaa,EEEEEEYYYYYYYY!!!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Afraz Khan,"I think, he made the point here with one argument, now no need to watch whole season. i understand now very clearly."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Mariam Farid,"""just because you don't get it doesn't mean it's oppressive"" this is the whole point 👏"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Mir Khan,Well done brother!  Sarcasm at its best!😂👍👍
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,Nicole Pearson,Beautifully put and damn funny.  Thank you!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Sahib,The way he came to the point without actually telling it..is pure genius.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,6,Ali,Got be real ramy has influenced me to go into this business he’s incredibly talented and a great role model in the Muslim community :)
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,6,Zira M,"Hard on for indigenous american men; King James, NBA players no fathers -    Ramy is gate keeping racism and white supremacy - thx 4 coming out with it ;-)"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,sb9017,Wow he is hilarious and adorable 😍
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Kevin V,"Just watched the special, and holy shit, the balls on this guy XD"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,52,Jasmine S,"I come from a Muslim family and no it's not all coming from free choice. And it's also not always by force. All humanity faces the internal pressure to fit in and follow society's ideals norms and moral mapping. I would question how much of people's choices are coming from their own idividuality or from a notion in their head of who they are and what is right or wrong.

 I believe we all have choice at the end of the day but  I wonder how much choice a woman in oppressive or even just conservative environments actually has. I wouldn't say she has completely free choice when some choices are not as safe, accepted, and I would say dangerous at times for example to wear what you want if what you want is not to cover up. 

So in semi conservative environments maybe nobody is forcing her to wear those things directly but she's backed into a corner and it can feel safer and more moral in the corner than out and after a while the corner becomes normal and familiar even to the women themselves."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,24,rakia dayekh,i live in tunisia it's a muslim country most people are musliems here there girls wearning hijab and also other girls wearing min skirts noe one oblige us to wear anything we choose the way we look and every one of us respect the other
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,Tormund Gaint,Actually a lot of women choose to cover the whole body while some places it is a custom.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Никита Уваров,This special shot just like Jerrod Carmichael’s “8”
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Juman B,Ramy always talks as if he’s high lol
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,21,323 653,This is the best critical thoughts on hijab and muslim clothing until now......The best......may allah guide morr and more young muslims
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,NB,He's smart!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,10,Iliana G,"Thank you, using comedy to bring better understanding ❤️ inshallah it will bring more dialogue between people"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Sarah Lop,"It's oppressive, even if it's a choice. In many countries it really is forced by law, and if you've ever worn one, you know how uncomfortable it is. Not every woman wants to wear them. I enjoy wearing them in winter when it is cold out, or wearing a niqab in the summer when it's dry out and the sun is blasting on my face. But I don't want to wear them most of the time and it's always sliding off my head and I feel like I look like an egg."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Ismail Hoque,"Temperature in celcius
Distance in meter/km
Capacity in litre 
Volume in cubic metre
Weight in gram/kilogram
That's what most of the asian countries use......I really get confused by fahrenheit,mile,gallon,pound....."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,6,MBest12,dudes eyes are so sweet and kind
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Annaleisha Mae,Brilliant!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,alec. micah,Genius
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,himura haibara,"Thanks to our covered clothing we can minimize sun damage to our skin. Don't have to apply sunscreen everytime. Just because you americans wear revealing cloths doesn't mean i have to do so. Women don't have to wear short clothing to be called attractive, but if you prefer to dress that way then go on."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Just Mine,he's a genius  🤣🤣🤣🤣
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Larbi Bouzine,"i just want what he is smoking , he so chill."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,L0Lfactory,Does anyone know the end credits song? Can't find it anywhere by typing the lyrics
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Marco Balboa,... Lol I love this guy 😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Salma Uthmaan,1:47 😂 😂 😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Mary Mary Quite Contrary,"It’s funny but faulty logic. In some middle eastern countries, they DO make you wear it - and you are jailed if you take the head scarf off. Iran, Saudi Arabia, Afghanistan, etc. In the West, you CAN wear what you want, be it a headscarf or a bikini."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Muamer Blazevic,Yea he pretty much nailed it...
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,66,Paula Gutierrez,Ughhh he's so cute and real
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Is it any Wonder,"If we can speak one on one outside of our belief  all good then init.40 minutes on stage, and I'm blamed"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Shifa Jahan,Love you ramy!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Nina Nina,😂😂😂😂💖 from Amsterdam 🇳🇱
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,7,Tinker Sbg,"I felt that. When I see those mormon girls in those denim skirts I think ""Why do you make them wear that?! 😭"""
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Exotic,"Good and funny answer, it's not easy to compine these two together in an answer.

To make the answer more complete, Muslims pray, wear the hijab, do good deeds, avoiding sins, and etc not just because there's some health beneficials, also because they believe there's a purpose for this life, and not some random purpose, skipping details and jumping to the answer they believe that this life is nothing more than a test, we don't just die then there's nothing

As those whom do good deeds will be rewarded, and those whom do bad stuff will be retributed, as no one can escape from hurting a human being or even animals in any way.

I think that sums the most important reason."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Khan Khalid Hassan,Wallah I love this brother
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Zachery Smith,Literally never seen more cringeworthy comedy. Yikes.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,7,Shahroon Ansari,Damnnnnn💯❤️
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,56,Abdisalam Farah,"Many angry xenophobes in the comment section, just because this guy punctured wholes in their argument - It is true whether you like it or not: ""The world doesn't revolve around your values and how you see the world"". Many who argue that Muslim women shouldn't wear hijab don't have the best interest of women at heart, their opinion is based on hate seeing other cultures living in their city. Mexicans for example don't wear hijab, yet there are many like Trump who hate them simply because they speak Spanish or they have different culture. Racists will always hide their argument in a way that doesn't seem racist, xenophobia or discriminatory: ""Oh... Muslim women are oppressed - I don't like seeing them wearing that towel on their head in my town""."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,10,Mario Arroyo,"Western beauty standards are unrealistic. That said, comparing those to the laws of Iran and Saudi Arabia is non-equivalent."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Gumar Ali,I love this guy!!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Danny,I was born in the Middle East and live in America now. Trust me it's extremely oppressive in the Middle East.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,عتيقة,Love this
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Mounia mimi,One word he's genius
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Penelope Shortcake,Why does he have to wear his cap backwards? I told my husband maybe he doesn’t need the sun out of his face but he needs his hair out-of-the-way. He thinks it’s a sign of disrespect. both thought maybe it’s a New Jersey thing?
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Danielle G,One of the best comedians I have seen in a long time! He kinda makes me feel guilty for laughing but I love him for for having the ability of taking uncomfortable situations and making you laugh—promotes healing
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,KCH 147,they use celsius😂😂😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,crazy girl,"I wear a hijab not a scarf a full hijab because I believe in Allah, I trust Allah and when you trust someone you really really trust him, you know he's telling you to do that for your own good
For Muslims like me Allah is the one who made us! And we serve nothing to him we litterly can't Benefit him nore we can harm him, otherwise he can do whatever he wants he could bless us in a millisecond or curse us in another, so really, whether I wear a hijab or not, Allah can't be harmed or blessed, the only one who's gonna get a positive or a negative outcome of whatever I choose to do is ME! only me.
Also a lot of people think it is because women in Islam are considered a shame, they cover themselves up, NO! Do you ever see a unique pearl outside just like that without a cover and protection? No, that's right, that's how Islam considers women to be (now I said the Islam and not the society people! don't mistake these two words ever.) 
Also, in Muslim countries usually we don't find that much of insecurities especially about women's body, and you already guessed why, also I'm not gonna hide the fact that this is increasing because of how far we got from our religion it is truly shameful to see that some Muslims only have the name of Islam they have no faith still they get to speak in medias about something the don't really know nore they understand.
So please don't tell lies about my peaceful sweet religion, and if you do not believe me go read about the prophet Muhammed, read the Quran, you could read about any prophet (but the real story not the lies)
I love you and respect you whatever your religion is, and I would love to expect the same thing from you, not acceptance I don't need it Tbh but I could use some respect, and if you're ignorant about something ask questions, don't make assumptions.
Have a wonderful day everyone"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,BlweLotus,This was deep 👐
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,Marjan Fawzi,How can he not blick in so long time?
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,feelthebowes,You Americans NEED Rami Yousef!!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Queen Nina,the crazy thing is that Nuns and mother mary used to wear the hijab
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,3,Maham Arif,I get serious Mike Shinoda feels when he speaks idk why hahah
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Mansa Musa Son,Mashallah
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Shaymaa Shehata,"Just because you don't get it, doesn't mean it is oppressive! 👍👍👍"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Aryan vashishth,When people just want to justify that what's belong to them / self that's right
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Lilith,Spoken like a pro!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Muslim Tours,Great clip
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,khaled mohamed,said it all actually
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Thus Words,"i also go with @nohope ,just stick to the video."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,ابنة كنعان,So let's just switch places. Lol
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,MewWolf5,His voice is so soothing.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,look25,What venue is that?
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Fathiya Rahmani,Dakwah through comedy! 👍
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,liban wkb,😂😂😂😂😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,One Two,"my mom and grandma wore the hijab until they were in their 30 s , my aunts ,cousins and friends dont wear it and i wore it at a younger age,  no one looks at us like we're different , it's all respect and love for each other , and our clothing is our pure choice 
to all my muslims and non muslims out there,  i send you love and respect , have a great peaceful day ♥ 
ps : PLEASE do not leave a hate comment , think twice,  move on,  still,  i love u all"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Abdikadir Ali,Mashallah
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Winter 2018,Ramy is awesome.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,nada3963,Smart.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,leen smk,I choose to wear hijab nobody made me wear it !
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,world peace,Excellent 👏👏😀
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,CrypticCommand 92,Intelligent usage of material
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Yusuf Bey,I’ve gotten that question too lol I’m like uhm they CHOOSE to wear it 😂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,John-Michael Batson,Clever...
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,"FLIP : Films, Life Ideas And Perspective","Hahaha, nice analogy. But a flawed one. One is because a religious text say so, the other one is societal. Society changes with time but religion stays the same. Huge difference."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Laghrib Amal,It's sooo real 🙂🙂🙂🙂
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Z,He has a point
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Ahmed Zaki,Love Ramy
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,mohamed el kinani,Again Egyptians
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,6,cray cray for tae tae,If only people can understand 'nobody makes them wear that'......☺ not always atleast.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,Karine Krayker,Love you ramy💖❤️
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,6,بنت ابوها,👏👏👏👏
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,Paige Pico,Right??
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,sema sema,clever
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Eman J Abadi,Absolutely RIGHT 💡💡✨😎😎😎
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,4,M,"I was in Iran six weeks ago. I became friends with two girls down in Shiraz, and went on two dates with a girl up in Tehran (who I'm still in contact with). One of the two girls in Shiraz got a fine for not wearing the hijab in her husband's car. I can't remember what the amount was but it was substantial. 
The girl in Tehran is currently trying to flee the country but she can't leave without her husband's (whom she's trying to divorce, hence me being on the date with her) or father's permission. 
All three girls hate wearing the hijab, and it's very much forced upon them. It's not culture, it's not choice, it's oppression. Khomeini enforced it in the aftermath of the Islamic Revolution. 
Stop. Making. Excuses. For. It. 
It's in no way akin to a woman in the west wearing a short skirt and stilettos because of cultural norms - it is enforced with violence and prison and fines. If you put a hoodie on over your dress you don't get western morality police bundling you into the back of a fucking van. 
This neglect and disregard amongst western liberals for women in certain middle eastern countries is infuriating, and it's all driven by the desire to show how inclusive and open minded we are, when it actually portrays the opposite."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Hally Bibi,"OH MY GOD!
why are people so obssesd with a piece of cloth. Why not the some hats or head dress some cultures wear. And why is what women wear always so much more everyone's business. PLEASE STOP."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,ahl ali Bousehab,A new soft salafist
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,5,khaled mohamed,iam adding him to my favourite abroad egyptian list just behind rami malek / mohamed salah / basem yousef
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,2,hind altahir,"damn, that was good!"
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,PosTracks Delivery,'Just because you don't get it doesn't mean it oppressive
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Julian Smith,so cute.
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Sameh abulfotooh,"The majority of Muslim women forced to wear hijab, it is not their own choice!

He doesn’t know anything about women’s rights in Middle East.

Women in west protected by “law”, if they “decide” to wear or not hijab, it is their own decision."
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Sara Sam,😂😂😂✌🏻
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,1,Amir Amir,Sooo true 1:44 I've been in France in mi-décembre and I've seen this. Blown my mind away!
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,9,lionhunter666,Man you are just amazing . love from your Arabian brother .
Ramy Youssef: Feelings (2019) | Why Do They Make Her Wear That (Clip) | HBO,0,Tayma 19,Lol
