,comedian,comedianLabel,citizenshipLabel,ethnic_groupLabel,spouseLabel,children_number,birthdate,genderLabel
37,http://www.wikidata.org/entity/Q11276934,Q11276934,Japan,,,,1971-06-25T00:00:00Z,male
38,http://www.wikidata.org/entity/Q11277059,Q11277059,Japan,,,,1973-04-19T00:00:00Z,
39,http://www.wikidata.org/entity/Q11277201,Q11277201,Japan,,,,1974-01-04T00:00:00Z,male
40,http://www.wikidata.org/entity/Q11277427,Q11277427,Japan,,,,1954-11-25T00:00:00Z,male
41,http://www.wikidata.org/entity/Q11277478,Q11277478,Japan,,,,1954-01-01T00:00:00Z,male
42,http://www.wikidata.org/entity/Q11277609,Q11277609,Japan,,,,1964-01-01T00:00:00Z,
43,http://www.wikidata.org/entity/Q11277675,Q11277675,,,,,,
44,http://www.wikidata.org/entity/Q11277683,Q11277683,Japan,,,,1972-06-17T00:00:00Z,
45,http://www.wikidata.org/entity/Q11277867,Q11277867,Japan,,,,1963-06-16T00:00:00Z,male
46,http://www.wikidata.org/entity/Q11278112,Q11278112,Japan,,,,1984-02-03T00:00:00Z,female
47,http://www.wikidata.org/entity/Q11278121,Q11278121,Japan,,,,1982-12-11T00:00:00Z,
48,http://www.wikidata.org/entity/Q11278367,Q11278367,Japan,,,,1976-05-07T00:00:00Z,female
49,http://www.wikidata.org/entity/Q11279322,Q11279322,Japan,,,,1975-09-23T00:00:00Z,
50,http://www.wikidata.org/entity/Q11279342,Q11279342,Japan,,,,1989-12-31T00:00:00Z,male
51,http://www.wikidata.org/entity/Q11279661,Q11279661,,,,,1968-10-18T00:00:00Z,female
52,http://www.wikidata.org/entity/Q11279778,Q11279778,Japan,,,,1980-03-17T00:00:00Z,male
53,http://www.wikidata.org/entity/Q11279842,Q11279842,Japan,,,,1983-02-14T00:00:00Z,male
54,http://www.wikidata.org/entity/Q11280032,Q11280032,Japan,,,,1983-05-23T00:00:00Z,male
55,http://www.wikidata.org/entity/Q11280193,Q11280193,Japan,,,,1984-03-16T00:00:00Z,male
56,http://www.wikidata.org/entity/Q11280535,Q11280535,Japan,,,,1972-04-20T00:00:00Z,male
57,http://www.wikidata.org/entity/Q11280647,Q11280647,Japan,,,,1941-09-09T00:00:00Z,male
58,http://www.wikidata.org/entity/Q11280656,Q11280656,Japan,,,,1979-10-25T00:00:00Z,male
59,http://www.wikidata.org/entity/Q11280821,Q11280821,Japan,,,,1977-01-25T00:00:00Z,male
60,http://www.wikidata.org/entity/Q11281104,Q11281104,Japan,,,,1980-10-12T00:00:00Z,female
61,http://www.wikidata.org/entity/Q11281175,Q11281175,Japan,,,,1974-12-02T00:00:00Z,
62,http://www.wikidata.org/entity/Q11282386,Q11282386,Japan,,,,1979-09-18T00:00:00Z,male
63,http://www.wikidata.org/entity/Q11282792,Q11282792,Japan,,,,1979-03-09T00:00:00Z,male
64,http://www.wikidata.org/entity/Q11285225,Q11285225,Japan,,,,1975-01-01T00:00:00Z,
65,http://www.wikidata.org/entity/Q11285889,Q11285889,Japan,,,,1949-09-07T00:00:00Z,
66,http://www.wikidata.org/entity/Q11287852,Q11287852,Japan,,,,1974-12-26T00:00:00Z,female
67,http://www.wikidata.org/entity/Q11291852,Q11291852,Japan,,,,1974-03-01T00:00:00Z,male
68,http://www.wikidata.org/entity/Q11291905,Q11291905,,,,,1978-11-21T00:00:00Z,male
69,http://www.wikidata.org/entity/Q11291944,Q11291944,Japan,,,,1981-06-14T00:00:00Z,female
70,http://www.wikidata.org/entity/Q11292461,Q11292461,Japan,,,,1968-10-29T00:00:00Z,male
71,http://www.wikidata.org/entity/Q11293779,Q11293779,Japan,,,,1978-07-05T00:00:00Z,
72,http://www.wikidata.org/entity/Q11294682,Q11294682,Japan,,,,1975-08-08T00:00:00Z,male
73,http://www.wikidata.org/entity/Q11295420,Q11295420,Japan,,,,1976-07-14T00:00:00Z,
74,http://www.wikidata.org/entity/Q11295641,Q11295641,Japan,,,,1972-05-06T00:00:00Z,male
75,http://www.wikidata.org/entity/Q11296858,Q11296858,Japan,,,,1964-10-29T00:00:00Z,male
76,http://www.wikidata.org/entity/Q11296979,Q11296979,,,,,1975-11-28T00:00:00Z,female
77,http://www.wikidata.org/entity/Q11297507,Q11297507,Japan,,,,1978-06-20T00:00:00Z,male
78,http://www.wikidata.org/entity/Q11301286,Q11301286,Japan,,,,1979-08-04T00:00:00Z,male
79,http://www.wikidata.org/entity/Q11304037,Q11304037,Japan,,,,1977-05-22T00:00:00Z,male
80,http://www.wikidata.org/entity/Q11305436,Q11305436,Japan,,,,1975-08-04T00:00:00Z,male
81,http://www.wikidata.org/entity/Q11306552,Q11306552,Japan,,,,1988-02-09T00:00:00Z,
82,http://www.wikidata.org/entity/Q11307517,Q11307517,Japan,,,,1964-05-24T00:00:00Z,male
83,http://www.wikidata.org/entity/Q11307535,Q11307535,Japan,,,,1979-03-11T00:00:00Z,female
84,http://www.wikidata.org/entity/Q11307537,Q11307537,Japan,,,,1985-11-26T00:00:00Z,
85,http://www.wikidata.org/entity/Q11307737,Q11307737,Japan,,,,1984-03-12T00:00:00Z,male
86,http://www.wikidata.org/entity/Q11308101,Q11308101,Japan,,,,1975-01-18T00:00:00Z,male
87,http://www.wikidata.org/entity/Q11308208,Q11308208,Japan,,,,1929-06-20T00:00:00Z,male
88,http://www.wikidata.org/entity/Q11309253,Q11309253,Japan,,,,1968-03-14T00:00:00Z,male
89,http://www.wikidata.org/entity/Q11309519,Q11309519,,,,,,male
90,http://www.wikidata.org/entity/Q11309755,Q11309755,Japan,,,,1982-05-11T00:00:00Z,
91,http://www.wikidata.org/entity/Q11310115,Q11310115,Japan,,,,1978-03-20T00:00:00Z,
92,http://www.wikidata.org/entity/Q11310841,Q11310841,Japan,,,,1977-05-15T00:00:00Z,male
93,http://www.wikidata.org/entity/Q11310852,Q11310852,Japan,,,,1965-12-23T00:00:00Z,
94,http://www.wikidata.org/entity/Q11311449,Q11311449,Japan,,,,1972-08-14T00:00:00Z,male
95,http://www.wikidata.org/entity/Q11311881,Q11311881,Japan,,,,1980-05-10T00:00:00Z,male
96,http://www.wikidata.org/entity/Q11312705,Q11312705,Japan,,,,1972-07-15T00:00:00Z,male
97,http://www.wikidata.org/entity/Q11313212,Q11313212,Japan,,,,1972-01-16T00:00:00Z,male
98,http://www.wikidata.org/entity/Q11314368,Q11314368,Japan,,,,1971-06-28T00:00:00Z,
99,http://www.wikidata.org/entity/Q11315040,Q11315040,Japan,,,,1952-06-20T00:00:00Z,male
100,http://www.wikidata.org/entity/Q11316057,Q11316057,Japan,,,,1974-12-16T00:00:00Z,
101,http://www.wikidata.org/entity/Q11316964,Q11316964,Japan,,,,1976-03-21T00:00:00Z,male
102,http://www.wikidata.org/entity/Q11317477,Q11317477,Japan,,,,1962-01-04T00:00:00Z,male
103,http://www.wikidata.org/entity/Q11317543,Q11317543,Japan,,,,1968-10-02T00:00:00Z,
104,http://www.wikidata.org/entity/Q11317800,Q11317800,Japan,,,,1975-07-17T00:00:00Z,male
105,http://www.wikidata.org/entity/Q11318217,Q11318217,Japan,,,,1975-01-22T00:00:00Z,male
106,http://www.wikidata.org/entity/Q11318219,Q11318219,Japan,,,,1944-01-01T00:00:00Z,male
107,http://www.wikidata.org/entity/Q11318313,Q11318313,Japan,,,,1942-11-07T00:00:00Z,male
108,http://www.wikidata.org/entity/Q11318743,Q11318743,Japan,,,,1982-08-04T00:00:00Z,female
109,http://www.wikidata.org/entity/Q11319846,Q11319846,Japan,,,,1951-05-16T00:00:00Z,male
110,http://www.wikidata.org/entity/Q11320262,Q11320262,Japan,,,,1980-05-16T00:00:00Z,male
111,http://www.wikidata.org/entity/Q11320624,Q11320624,Japan,,,,1976-09-04T00:00:00Z,male
112,http://www.wikidata.org/entity/Q11320870,Q11320870,Japan,,,,1975-12-05T00:00:00Z,
113,http://www.wikidata.org/entity/Q11321405,Q11321405,Japan,,,,1983-12-15T00:00:00Z,
114,http://www.wikidata.org/entity/Q11321427,Q11321427,Japan,,,,1982-05-09T00:00:00Z,male
115,http://www.wikidata.org/entity/Q11322482,Q11322482,Japan,,,,1978-01-21T00:00:00Z,female
116,http://www.wikidata.org/entity/Q11323671,Q11323671,Japan,,,,1966-12-29T00:00:00Z,
117,http://www.wikidata.org/entity/Q11323684,Q11323684,Japan,,,,1971-01-01T00:00:00Z,
118,http://www.wikidata.org/entity/Q11323856,Q11323856,Japan,,,,1968-08-11T00:00:00Z,female
119,http://www.wikidata.org/entity/Q11323863,Q11323863,Japan,,,,,male
120,http://www.wikidata.org/entity/Q11324213,Q11324213,Japan,,,,1985-06-27T00:00:00Z,male
121,http://www.wikidata.org/entity/Q11325698,Q11325698,Japan,,,,1965-07-26T00:00:00Z,male
122,http://www.wikidata.org/entity/Q11326771,Q11326771,Japan,,,,1983-10-02T00:00:00Z,male
123,http://www.wikidata.org/entity/Q11326994,Q11326994,Japan,,,,1970-09-24T00:00:00Z,male
124,http://www.wikidata.org/entity/Q11327109,Q11327109,Japan,,,,1977-08-23T00:00:00Z,male
125,http://www.wikidata.org/entity/Q11327849,Q11327849,Japan,,,,1970-11-24T00:00:00Z,male
126,http://www.wikidata.org/entity/Q11328606,Q11328606,Japan,,,,,male
127,http://www.wikidata.org/entity/Q11328806,Q11328806,,,,,1975-12-21T00:00:00Z,
128,http://www.wikidata.org/entity/Q11329306,Q11329306,,,,,,
129,http://www.wikidata.org/entity/Q11329664,Q11329664,Japan,,,,1954-03-27T00:00:00Z,male
130,http://www.wikidata.org/entity/Q11329838,Q11329838,Japan,,,,1982-01-02T00:00:00Z,male
131,http://www.wikidata.org/entity/Q11330044,Q11330044,Japan,,,,1976-06-01T00:00:00Z,male
132,http://www.wikidata.org/entity/Q11330091,Q11330091,Japan,,,,1971-04-07T00:00:00Z,male
133,http://www.wikidata.org/entity/Q11330872,Q11330872,Japan,,,,1963-02-17T00:00:00Z,male
134,http://www.wikidata.org/entity/Q11331433,Q11331433,,,,,1981-06-29T00:00:00Z,male
135,http://www.wikidata.org/entity/Q11333143,Q11333143,Japan,,,,1977-07-21T00:00:00Z,male
136,http://www.wikidata.org/entity/Q11333151,Q11333151,Japan,,,,1982-09-17T00:00:00Z,male
137,http://www.wikidata.org/entity/Q11333258,Q11333258,Japan,,,,1983-08-26T00:00:00Z,male
138,http://www.wikidata.org/entity/Q11333573,Q11333573,Japan,,,,1980-11-27T00:00:00Z,male
139,http://www.wikidata.org/entity/Q11333620,Q11333620,Japan,,,,1971-05-31T00:00:00Z,male
140,http://www.wikidata.org/entity/Q11334387,Q11334387,Japan,,,,1952-08-06T00:00:00Z,male
141,http://www.wikidata.org/entity/Q11335101,Q11335101,Japan,,,,,
142,http://www.wikidata.org/entity/Q11335312,Q11335312,Japan,,,,1959-06-02T00:00:00Z,male
143,http://www.wikidata.org/entity/Q11335639,Q11335639,Japan,,,,1980-09-21T00:00:00Z,female
144,http://www.wikidata.org/entity/Q11336801,Q11336801,Japan,,,,1981-08-29T00:00:00Z,male
145,http://www.wikidata.org/entity/Q11337248,Q11337248,,,,,,male
146,http://www.wikidata.org/entity/Q11338346,Q11338346,Japan,,,,1983-12-17T00:00:00Z,
147,http://www.wikidata.org/entity/Q11338882,Q11338882,Japan,,,,1979-06-14T00:00:00Z,
148,http://www.wikidata.org/entity/Q11340413,Q11340413,Japan,,,,1975-09-21T00:00:00Z,female
149,http://www.wikidata.org/entity/Q11340670,Q11340670,Japan,,,,,female
150,http://www.wikidata.org/entity/Q11340704,Q11340704,Japan,,,,1976-08-20T00:00:00Z,female
151,http://www.wikidata.org/entity/Q11341047,Q11341047,Japan,,,,1983-08-24T00:00:00Z,female
152,http://www.wikidata.org/entity/Q11341068,Q11341068,Japan,,,,1984-11-01T00:00:00Z,
153,http://www.wikidata.org/entity/Q11341094,Q11341094,Japan,,,,1983-08-15T00:00:00Z,male
154,http://www.wikidata.org/entity/Q11341605,Q11341605,Japan,,,,1977-01-01T00:00:00Z,
155,http://www.wikidata.org/entity/Q11341635,Q11341635,Japan,,,,1976-07-19T00:00:00Z,male
156,http://www.wikidata.org/entity/Q11341797,Q11341797,Japan,,,,1981-02-24T00:00:00Z,
157,http://www.wikidata.org/entity/Q11342003,Q11342003,Japan,,,,,female
158,http://www.wikidata.org/entity/Q11342052,Q11342052,Japan,,,,1944-06-02T00:00:00Z,
159,http://www.wikidata.org/entity/Q11343038,Q11343038,Japan,,,,1982-06-14T00:00:00Z,
160,http://www.wikidata.org/entity/Q11343125,Q11343125,Japan,,,,1971-08-17T00:00:00Z,male
161,http://www.wikidata.org/entity/Q11343454,Q11343454,Japan,,,,1976-08-29T00:00:00Z,male
162,http://www.wikidata.org/entity/Q11343558,Q11343558,Japan,,,,1976-03-19T00:00:00Z,female
163,http://www.wikidata.org/entity/Q11343750,Q11343750,Japan,,,,1969-09-06T00:00:00Z,male
164,http://www.wikidata.org/entity/Q11344105,Q11344105,Japan,,,,1986-01-07T00:00:00Z,female
165,http://www.wikidata.org/entity/Q11344173,Q11344173,Japan,,,,1979-06-18T00:00:00Z,male
166,http://www.wikidata.org/entity/Q11345069,Q11345069,Japan,,,,1976-03-25T00:00:00Z,
167,http://www.wikidata.org/entity/Q11345135,Q11345135,Japan,,,,1969-02-23T00:00:00Z,male
168,http://www.wikidata.org/entity/Q11345387,Q11345387,Japan,,,,1970-06-26T00:00:00Z,
169,http://www.wikidata.org/entity/Q11345536,Q11345536,Japan,,,,1985-08-28T00:00:00Z,female
170,http://www.wikidata.org/entity/Q11347300,Q11347300,Japan,,,,1967-05-28T00:00:00Z,
171,http://www.wikidata.org/entity/Q11347384,Q11347384,Japan,,,,1979-09-07T00:00:00Z,male
172,http://www.wikidata.org/entity/Q11347847,Q11347847,Japan,,,,1980-01-18T00:00:00Z,female
173,http://www.wikidata.org/entity/Q11348243,Q11348243,Japan,,,,1971-10-26T00:00:00Z,male
174,http://www.wikidata.org/entity/Q11348257,Q11348257,Japan,,,,1981-06-15T00:00:00Z,female
175,http://www.wikidata.org/entity/Q11348609,Q11348609,Japan,,,,1978-04-27T00:00:00Z,male
176,http://www.wikidata.org/entity/Q11349170,Q11349170,Japan,,,,1935-11-27T00:00:00Z,male
177,http://www.wikidata.org/entity/Q11349171,Q11349171,,,,,1930-01-01T00:00:00Z,male
178,http://www.wikidata.org/entity/Q11349187,Q11349187,Japan,,,,1969-10-12T00:00:00Z,female
179,http://www.wikidata.org/entity/Q11349445,Q11349445,Brazil,,,,1976-08-18T00:00:00Z,male
180,http://www.wikidata.org/entity/Q11350481,Q11350481,Japan,,,,1975-04-06T00:00:00Z,
181,http://www.wikidata.org/entity/Q11350725,Q11350725,Japan,,,,1987-03-11T00:00:00Z,female
182,http://www.wikidata.org/entity/Q11350759,Q11350759,Japan,,,,1986-04-16T00:00:00Z,female
183,http://www.wikidata.org/entity/Q11350897,Q11350897,Japan,,,,1943-12-13T00:00:00Z,
184,http://www.wikidata.org/entity/Q11355726,Q11355726,Japan,,,,1985-12-01T00:00:00Z,
185,http://www.wikidata.org/entity/Q11356327,Q11356327,Japan,,,,1977-10-18T00:00:00Z,male
186,http://www.wikidata.org/entity/Q11356657,Q11356657,Japan,,,,1976-11-23T00:00:00Z,male
187,http://www.wikidata.org/entity/Q11358556,Q11358556,Japan,,,,1981-10-10T00:00:00Z,male
188,http://www.wikidata.org/entity/Q11360248,Q11360248,Japan,Japanese people,,,1969-08-24T00:00:00Z,female
189,http://www.wikidata.org/entity/Q11362142,Q11362142,Japan,,,,1972-05-04T00:00:00Z,male
190,http://www.wikidata.org/entity/Q11364403,Q11364403,Japan,,,,1974-04-12T00:00:00Z,male
191,http://www.wikidata.org/entity/Q11364443,Q11364443,Japan,,,,1975-12-09T00:00:00Z,male
192,http://www.wikidata.org/entity/Q11366242,Q11366242,Japan,,,,1901-12-26T00:00:00Z,male
193,http://www.wikidata.org/entity/Q11366642,Q11366642,Japan,,,,1966-03-13T00:00:00Z,male
194,http://www.wikidata.org/entity/Q11366644,Q11366644,Japan,,,,1963-07-23T00:00:00Z,male
195,http://www.wikidata.org/entity/Q11366647,Q11366647,Japan,,,,1937-01-01T00:00:00Z,
196,http://www.wikidata.org/entity/Q11366654,Q11366654,Japan,,,,1973-08-16T00:00:00Z,
197,http://www.wikidata.org/entity/Q11370813,Q11370813,,,,,1976-12-31T00:00:00Z,male
198,http://www.wikidata.org/entity/Q11372957,Q11372957,Japan,,,,1986-08-28T00:00:00Z,female
199,http://www.wikidata.org/entity/Q11373621,Q11373621,Japan,,,,1980-02-11T00:00:00Z,male
200,http://www.wikidata.org/entity/Q11377599,Q11377599,Japan,,,,1982-05-07T00:00:00Z,male
201,http://www.wikidata.org/entity/Q11382013,Q11382013,Japan,,,,1930-01-16T00:00:00Z,male
202,http://www.wikidata.org/entity/Q11387998,Q11387998,Japan,,,,1961-08-19T00:00:00Z,male
203,http://www.wikidata.org/entity/Q11390911,Q11390911,Japan,,,,1975-05-20T00:00:00Z,female
204,http://www.wikidata.org/entity/Q11394100,Q11394100,Japan,,,,1941-09-14T00:00:00Z,male
205,http://www.wikidata.org/entity/Q11394139,Q11394139,Japan,,,,1915-02-25T00:00:00Z,male
206,http://www.wikidata.org/entity/Q11406113,Q11406113,Japan,,,,1889-01-01T00:00:00Z,
207,http://www.wikidata.org/entity/Q11409092,Q11409092,Japan,,,,1984-12-15T00:00:00Z,
208,http://www.wikidata.org/entity/Q11410348,Q11410348,Japan,,,,1978-08-07T00:00:00Z,male
209,http://www.wikidata.org/entity/Q11411100,Q11411100,Japan,,,,,female
210,http://www.wikidata.org/entity/Q11411480,Q11411480,,,,,1961-04-29T00:00:00Z,male
211,http://www.wikidata.org/entity/Q11411632,Q11411632,Japan,,,,1967-10-06T00:00:00Z,male
212,http://www.wikidata.org/entity/Q11412760,Q11412760,Japan,,,,1980-06-11T00:00:00Z,
213,http://www.wikidata.org/entity/Q11416614,Q11416614,Japan,,,,1924-08-21T00:00:00Z,female
214,http://www.wikidata.org/entity/Q11419103,Q11419103,,,,,1956-01-01T00:00:00Z,female
215,http://www.wikidata.org/entity/Q11419349,Q11419349,Japan,,,,1976-11-21T00:00:00Z,female
216,http://www.wikidata.org/entity/Q11420304,Q11420304,Japan,,,,1974-04-26T00:00:00Z,male
217,http://www.wikidata.org/entity/Q11420419,Q11420419,,,,,1971-01-19T00:00:00Z,
218,http://www.wikidata.org/entity/Q11423845,Q11423845,Japan,,,,1971-06-06T00:00:00Z,male
219,http://www.wikidata.org/entity/Q11431605,Q11431605,,,,,1944-10-20T00:00:00Z,male
220,http://www.wikidata.org/entity/Q11435261,Q11435261,Japan,,,,1956-02-24T00:00:00Z,male
221,http://www.wikidata.org/entity/Q11435262,Q11435262,Japan,,,,1956-10-30T00:00:00Z,male
222,http://www.wikidata.org/entity/Q11438406,Q11438406,Japan,,,,,male
223,http://www.wikidata.org/entity/Q11438554,Q11438554,Japan,,,,1980-02-29T00:00:00Z,male
224,http://www.wikidata.org/entity/Q11439288,Q11439288,Japan,,,,1975-05-21T00:00:00Z,
225,http://www.wikidata.org/entity/Q11444343,Q11444343,Japan,,,,1967-12-09T00:00:00Z,male
226,http://www.wikidata.org/entity/Q11446678,Q11446678,Japan,,,,1962-11-12T00:00:00Z,male
227,http://www.wikidata.org/entity/Q11447369,Q11447369,Japan,,,,1988-07-17T00:00:00Z,female
228,http://www.wikidata.org/entity/Q11449953,Q11449953,Japan,,,,1916-01-01T00:00:00Z,female
229,http://www.wikidata.org/entity/Q11450966,Q11450966,Japan,,,,1975-07-14T00:00:00Z,male
230,http://www.wikidata.org/entity/Q11451769,Q11451769,Japan,,,,1981-07-20T00:00:00Z,male
231,http://www.wikidata.org/entity/Q11453100,Q11453100,,,,,1946-02-11T00:00:00Z,male
232,http://www.wikidata.org/entity/Q11455149,Q11455149,Japan,,,,1987-04-07T00:00:00Z,female
233,http://www.wikidata.org/entity/Q11455724,Q11455724,Japan,,,,1986-05-30T00:00:00Z,female
234,http://www.wikidata.org/entity/Q11461012,Q11461012,Japan,,,,1919-03-23T00:00:00Z,
235,http://www.wikidata.org/entity/Q11463499,Q11463499,,,,,,male
236,http://www.wikidata.org/entity/Q11463844,Q11463844,Japan,,,,1897-01-01T00:00:00Z,male
237,http://www.wikidata.org/entity/Q11467922,Q11467922,Japan,,,,1970-01-18T00:00:00Z,male
238,http://www.wikidata.org/entity/Q11470105,Q11470105,Japan,,,,1971-06-16T00:00:00Z,male
239,http://www.wikidata.org/entity/Q11470159,Q11470159,Japan,,,,1974-01-27T00:00:00Z,male
240,http://www.wikidata.org/entity/Q11473693,Q11473693,Japan,,,,1987-10-16T00:00:00Z,
241,http://www.wikidata.org/entity/Q11474239,Q11474239,Japan,,,,1979-11-27T00:00:00Z,male
242,http://www.wikidata.org/entity/Q11477476,Q11477476,Japan,,,,1961-02-23T00:00:00Z,male
243,http://www.wikidata.org/entity/Q11477940,Q11477940,Japan,,,,1978-03-28T00:00:00Z,female
244,http://www.wikidata.org/entity/Q11478736,Q11478736,Japan,,,,1979-12-17T00:00:00Z,female
245,http://www.wikidata.org/entity/Q11481735,Q11481735,Japan,,,,1982-06-18T00:00:00Z,
246,http://www.wikidata.org/entity/Q11485370,Q11485370,Japan,,,,1970-10-06T00:00:00Z,female
247,http://www.wikidata.org/entity/Q11491381,Q11491381,Japan,,,,1978-07-14T00:00:00Z,male
248,http://www.wikidata.org/entity/Q11493501,Q11493501,,,,,,female
249,http://www.wikidata.org/entity/Q11495100,Q11495100,Japan,,,,1982-09-14T00:00:00Z,male
250,http://www.wikidata.org/entity/Q11500355,Q11500355,Japan,,,,1978-12-23T00:00:00Z,male
251,http://www.wikidata.org/entity/Q11511384,Q11511384,Japan,,,,1980-04-15T00:00:00Z,female
252,http://www.wikidata.org/entity/Q11512784,Q11512784,Japan,,,,1948-11-17T00:00:00Z,female
253,http://www.wikidata.org/entity/Q11513380,Q11513380,Japan,,,,1961-06-15T00:00:00Z,female
254,http://www.wikidata.org/entity/Q11514237,Q11514237,,,,,1973-01-01T00:00:00Z,
255,http://www.wikidata.org/entity/Q11516013,Q11516013,Japan,,,,,female
256,http://www.wikidata.org/entity/Q11518206,Q11518206,Japan,,,,1968-11-19T00:00:00Z,
257,http://www.wikidata.org/entity/Q11518326,Q11518326,Japan,,,,1985-09-22T00:00:00Z,female
258,http://www.wikidata.org/entity/Q11519308,Q11519308,,,,,1990-06-16T00:00:00Z,
259,http://www.wikidata.org/entity/Q11519729,Q11519729,Japan,,,,1947-03-01T00:00:00Z,female
260,http://www.wikidata.org/entity/Q11520388,Q11520388,Japan,,,,1983-01-11T00:00:00Z,female
261,http://www.wikidata.org/entity/Q11522666,Q11522666,Japan,,,,1955-05-28T00:00:00Z,male
262,http://www.wikidata.org/entity/Q11523490,Q11523490,Japan,,,,1981-10-05T00:00:00Z,female
263,http://www.wikidata.org/entity/Q11524075,Q11524075,Japan,,,,1983-02-09T00:00:00Z,
264,http://www.wikidata.org/entity/Q11524599,Q11524599,Japan,,,,1969-07-11T00:00:00Z,male
265,http://www.wikidata.org/entity/Q11529556,Q11529556,Japan,,,,1978-01-01T00:00:00Z,female
266,http://www.wikidata.org/entity/Q11531396,Q11531396,Japan,,,,1970-08-09T00:00:00Z,male
267,http://www.wikidata.org/entity/Q11532546,Q11532546,Japan,,,,1985-07-04T00:00:00Z,female
268,http://www.wikidata.org/entity/Q11532948,Q11532948,Japan,,,,1948-08-13T00:00:00Z,female
269,http://www.wikidata.org/entity/Q11532949,Q11532949,Japan,,,,1941-11-29T00:00:00Z,male
